ID;FK_TARIFARIO;COD_ARTICULO;PARAGRAFO;FK_CODIGO_CUPS;DESCRIPCION;TIPO_PARAGRAFO
1;1;7;aplica 1;502201;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
2;1;11;aplica 1;660101;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
3;1;12;aplica 1;660203;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
4;1;13;aplica 1;778101;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
5;1;1;aplica 1;778931;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
6;1;29;aplica 1;893812;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
7;1;7;aplica 2;72100;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
8;1;1;aplica 2;120000;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
9;1;11;aplica 2;694101;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
10;1;13;aplica 2;778306;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
11;1;1;aplica 3;143101;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
12;1;11;aplica 3;750101;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
13;1;13;aplica 3;778921;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
14;1;1;aplica 4;186200;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
15;1;13;aplica 4;778923;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
16;1;13;aplica 5;778501;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
17;1;13;aplica 6;778800;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
18;1;13;aplica 7;778701;Procedimiento No aplica de acuerdo a Patologia de Base (Diagnostico);aplicación
19;1;1;aplica 1;10101;Procedimiento No aplica para la Edad o Sexo.;edad
20;1;1;aplica 1;10102;Procedimiento No aplica para la Edad o Sexo.;edad
21;1;1;aplica 1;10201;Procedimiento No aplica para la Edad o Sexo.;edad
22;1;1;aplica 1;10202;Procedimiento No aplica para la Edad o Sexo.;edad
23;1;1;aplica 1;10203;Procedimiento No aplica para la Edad o Sexo.;edad
24;1;1;aplica 1;10901;Procedimiento No aplica para la Edad o Sexo.;edad
25;1;1;aplica 1;11101;Procedimiento No aplica para la Edad o Sexo.;edad
26;1;1;aplica 1;11201;Procedimiento No aplica para la Edad o Sexo.;edad
27;1;1;aplica 1;11302;Procedimiento No aplica para la Edad o Sexo.;edad
28;1;1;aplica 1;11303;Procedimiento No aplica para la Edad o Sexo.;edad
29;1;1;aplica 1;11304;Procedimiento No aplica para la Edad o Sexo.;edad
30;1;1;aplica 1;12100;Procedimiento No aplica para la Edad o Sexo.;edad
31;1;1;aplica 1;12101;Procedimiento No aplica para la Edad o Sexo.;edad
32;1;1;aplica 1;12401;Procedimiento No aplica para la Edad o Sexo.;edad
33;1;1;aplica 1;12402;Procedimiento No aplica para la Edad o Sexo.;edad
34;1;1;aplica 1;12410;Procedimiento No aplica para la Edad o Sexo.;edad
35;1;1;aplica 1;12501;Procedimiento No aplica para la Edad o Sexo.;edad
36;1;1;aplica 1;12502;Procedimiento No aplica para la Edad o Sexo.;edad
37;1;1;aplica 1;12503;Procedimiento No aplica para la Edad o Sexo.;edad
38;1;1;aplica 1;13101;Procedimiento No aplica para la Edad o Sexo.;edad
39;1;1;aplica 1;13102;Procedimiento No aplica para la Edad o Sexo.;edad
