ID_HABITACION;CODIGO_CAMA;ESTADO_CAMA;TIPO_CAMA
1;TRIAGE;0;valoracion
2;OBSERV101;0;observacion
3;OBSERV102;0;observacion
4;OBSERV103;0;observacion
5;OBSERV104;0;observacion
6;OBSERV105;0;observacion
7;OBSERV106;0;observacion
8;OBSERV107;0;observacion
9;OBSERV108;0;observacion
10;OBSERV109;0;observacion
11;HAB101A;0;hospitalizado
12;HAB102A;0;hospitalizado
13;HAB103A;0;hospitalizado
14;HAB104A;0;hospitalizado
15;HAB105A;0;hospitalizado
16;HAB106A;0;hospitalizado
17;HAB107A;0;hospitalizado
18;HAB108A;0;hospitalizado
19;HAB109A;0;hospitalizado
20;HAB101B;0;hospitalizado
21;HAB102B;0;hospitalizado
22;HAB103B;0;hospitalizado
23;HAB104B;0;hospitalizado
24;HAB105B;0;hospitalizado
25;HAB106B;0;hospitalizado
26;HAB107B;0;hospitalizado
27;HAB108B;0;hospitalizado
28;HAB109B;0;hospitalizado
29;HAB201A;0;hospitalizado
30;HAB202A;0;hospitalizado
31;HAB203A;0;hospitalizado
32;HAB204A;0;hospitalizado
33;HAB205A;0;hospitalizado
34;HAB206A;0;hospitalizado
35;HAB207A;0;hospitalizado
36;HAB208A;0;hospitalizado
37;HAB209A;0;hospitalizado
38;HAB201B;0;hospitalizado
39;HAB202B;0;hospitalizado
40;HAB203B;0;hospitalizado
41;HAB204B;0;hospitalizado
42;HAB205B;0;hospitalizado
43;HAB206B;0;hospitalizado
44;HAB207B;0;hospitalizado
45;HAB208B;0;hospitalizado
46;HAB209B;0;hospitalizado
47;HAB301A;0;hospitalizado
48;HAB302A;0;hospitalizado
49;HAB303A;0;hospitalizado
50;HAB304A;0;hospitalizado
51;HAB305A;0;hospitalizado
52;HAB306A;0;hospitalizado
53;HAB307A;0;hospitalizado
54;HAB308A;0;hospitalizado
55;HAB309A;0;hospitalizado
56;HAB301B;0;hospitalizado
57;HAB302B;0;hospitalizado
58;HAB303B;0;hospitalizado
59;HAB304B;0;hospitalizado
60;HAB305B;0;hospitalizado
61;HAB306B;0;hospitalizado
62;HAB307B;0;hospitalizado
63;HAB308B;0;hospitalizado
64;HAB309B;0;hospitalizado
65;UCE101;0;intermedios
66;UCE102;0;intermedios
67;UCE103;0;intermedios
68;UCE104;0;intermedios
69;UCE105;0;intermedios
70;UCE106;0;intermedios
71;UCE107;0;intermedios
72;UCE108;0;intermedios
73;UCE109;0;intermedios
74;UCI101;0;intensivos
75;UCI102;0;intensivos
76;UCI103;0;intensivos
77;UCI104;0;intensivos
78;UCI105;0;intensivos
79;UCI106;0;intensivos
80;UCI107;0;intensivos
81;UCI108;0;intensivos
82;UCI109;0;intensivos
83;SCX01;0;cirugia
84;SCX02;0;cirugia
85;SCX03;0;cirugia
86;SCX04;0;cirugia
87;SCX05;0;cirugia
88;SCX06;0;cirugia
89;SCX07;0;cirugia
90;SCX08;0;cirugia
