ID_CENTRO_COSTO;DESCRIPCION_CENTRO_COSTO;FK_NIVEL_ATENCION;TIPO_AMBITO;FK_ESPECIALIDAD
1;ATENCION ODONTOLOGICA;2;ambulatorio;17
2;CIRUGIA AMBULATORIA;3;hospitalario;10
3;CIRUGIA AMBULATORIA NO POS;4;hospitalario;10
4;HOSPITALIZACION QUIRURJICA;4;hospitalario;10
5;CIRUGIA HOSPITALARIA NO POS;4;hospitalario;10
6;CONSULTAS MEDICAS;2;ambulatorio;27
7;HONORARIOS MEDICOS;2;ambulatorio;29
8;HOSPITALIZACION NO QUIRURGICA;4;hospitalario;29
9;MATERIALES NO POS;2;hospitalario;
10;MATERIALES POS;1;ambulatorio;
11;MEDICAMENTOS NO POS;2;hospitalario;
12;MEDICAMENTOS POS;1;ambulatorio;
13;PAQUETES HOSPITALARIOS NO POS;4;hospitalario;
14;PAQUETES HOSPITALARIOS POS;4;hospitalario;
15;PAQUETES OBSTETRICO;4;hospitalario;20
16;APOYO DIAGNOSTICO NO POS;4;hospitalario;46
17;APOYO DIAGNOSTICO POS;2;ambulatorio;46
18;APOYO TERAPEUTICO NO POS;4;hospitalario;47
19;APOYO TERAPEUTICO POS;3;ambulatorio;47
20;TRANSPORTE DE AMBULANCIA;3;ambulatorio;28
21;URGENCIAS;3;hospitalario;4
22;SUMINISTRO DE OXIGENO;1;ambulatorio;35
23;MATERIAL DE OSTEOSINTESIS;2;hospitalario;42
24;DERECHOS DE SALA;4;hospitalario;10
