FK_ID_CENTRO_COSTO;DESCRIPCION_CENTRO_COSTO;ID_NIVEL_COMPLEJIDAD;TIPO_AMBITO
1;ATENCION ODONTOLOGICA;2;ambulatorio
2;CIRUGIA AMBULATORIA;3;hospitalario
3;CIRUGIA AMBULATORIA NO POS;4;hospitalario
4;HOSPITALIZACION QUIRURJICA;6;hospitalario
5;CIRUGIA HOSPITALARIA NO POS;6;hospitalario
6;CONSULTAS MEDICAS;2;ambulatorio
7;HONORARIOS MEDICOS;2;ambulatorio
8;HOSPITALIZACION NO QUIRURGICA;5;hospitalario
9;MATERIALES NO POS;2;hospitalario
10;MATERIALES POS;1;ambulatorio
11;MEDICAMENTOS NO POS;2;hospitalario
12;MEDICAMENTOS POS;1;ambulatorio
13;PAQUETES HOSPITALARIOS NO POS;6;hospitalario
14;PAQUETES HOSPITALARIOS POS;4;hospitalario
15;PAQUETES OBSTETRICO;6;hospitalario
16;APOYO DIAGNOSTICO NO POS;4;hospitalario
17;APOYO DIAGNOSTICO POS;2;ambulatorio
18;APOYO TERAPEUTICO NO POS;4;hospitalario
19;APOYO TERAPEUTICO POS;3;ambulatorio
20;TRANSPORTE DE AMBULANCIA;3;ambulatorio
21;URGENCIAS;3;hospitalario
22;SUMINISTRO DE OXIGENO;1;ambulatorio
23;MATERIAL DE OSTEOSINTESIS;2;hospitalario
24;DERECHOS DE SALA;4;hospitalario
