ID_CONTRATO;FK_EPS;FK_TARIFARIO;TIPO_VARIACION;PORCENTAJE_AMB;PORCENTAJE_URG;PORCENTAJE_HOSP;CONTRATO;FECHA_INI_CONTRATO;FECHA_FIN_CONTRATO
1;8301138310;1;aumento;5.5;5.5;5.5;CONTR_01;1/01/2016;31/07/2018
2;8600274041;4;descuento;2;2;2;CONTR_02;1/01/2016;31/07/2018
3;8600052246;1;aumento;2.3;2.3;2.3;CONTR_03;1/01/2016;31/07/2018
4;860013570;4;descuento;15;15;15;CONTR_04;1/01/2016;31/07/2018
5;9001787243;5;descuento;18;18;18;CONTR_05;1/01/2016;31/07/2018
6;830108238;4;descuento;22.5;22.5;22.5;CONTR_06;1/01/2016;31/07/2018
7;900136638;1;aumento;17;17;17;CONTR_07;1/01/2016;31/07/2018
8;8001063391;1;aumento;22;22;22;CONTR_08;1/01/2016;31/07/2018
9;8002261753;1;aumento;5;5;5;CONTR_09;1/01/2016;31/07/2018
10;8605122376;4;descuento;5;5;5;CONTR_10;1/01/2016;31/07/2018
11;8600788287;5;descuento;5;5;5;CONTR_11;1/01/2016;31/07/2018
12;8600261825;4;descuento;5;5;5;CONTR_12;1/01/2016;31/07/2018
13;8600025032;1;aumento;5;5;5;CONTR_13;1/01/2016;31/07/2018
14;860037013;2;aumento;10;10;10;CONTR_14;1/01/2016;31/07/2018
15;8600669427;2;aumento;12;12;12;CONTR_15;1/01/2016;31/07/2018
16;805000427;5;descuento;11;11;11;CONTR_16;1/01/2016;31/07/2018
17;899999068;4;descuento;11.5;11.5;11.5;CONTR_17;1/01/2016;31/07/2018
18;8300035647;1;aumento;14;14;14;CONTR_18;1/01/2016;31/07/2018
19;8600101707;5;descuento;15;15;15;CONTR_19;1/01/2016;31/07/2018
20;8600086457;2;aumento;15;15;15;CONTR_20;1/01/2016;31/07/2018
21;860043211;1;aumento;15;15;15;CONTR_21;1/01/2016;31/07/2018
22;8001534248;1;aumento;15;15;15;CONTR_22;1/01/2016;31/07/2018
23;8600023985;1;aumento;15;15;15;CONTR_23;1/01/2016;31/07/2018
24;8600382991;4;descuento;17;17;17;CONTR_24;1/01/2016;31/07/2018
25;8999999990;5;descuento;17;17;17;CONTR_25;1/01/2016;31/07/2018
26;999999999;4;descuento;2;2;2;CONTR_26;1/01/2016;31/07/2018
27;8600111536;1;aumento;12;12;12;CONTR_27;1/01/2016;31/07/2018
28;8001309074;1;aumento;15;15;15;CONTR_28;1/01/2016;31/07/2018
29;8002514406;1;aumento;5;5;5;CONTR_29;1/01/2016;31/07/2018
30;8600021846;2;aumento;5;5;5;CONTR_30;1/01/2016;31/07/2018
31;860009578;5;descuento;12;12;12;CONTR_31;1/01/2016;31/07/2018
32;899999034;2;aumento;12.5;12.5;12.5;CONTR_32;1/01/2016;31/07/2018
33;8909037905;4;descuento;15;15;15;CONTR_33;1/01/2016;31/07/2018
34;899999063;1;aumento;15;15;15;CONTR_34;1/01/2016;31/07/2018
