ID_EPS;COD_EPS;NOMBRE_EPS;DIRECCION;TELEFONO
8301138310;EPS000;ALIANSALUD EPS ;;
8600274041;EPS001;ALLIANZA SEG. DE VIDA  S.A.;;
8600052246;EPS002;BAVARIA S.A. DIVIMED;;
860013570;EPS003;CAFAM CAJA DE COMPENSACION FAMILIAR;;
9001787243;EPS004;CAFESALUD MEDP. S.A ;;
830108238;EPS005;CANSERCOOP;;
900136638;EPS006;CERVECERIA DEL VALLE S. A.;;
8001063391;EPS007;COLMEDICA MEDP. S.A.;;
8002261753;EPS008;COLMENA ARL S.A.;;
8605122376;EPS009;COLPATRIA MEDICINA PREPAGADA;;
8600788287;EPS010;COLSANITAS S.A.;;
8600261825;EPS011;COLSEGUROS ASEG. DE VIDA S.A.;;
8600025032;EPS012;COMPANIA DE SEGUROS BOLIVAR S.A.;;
860037013;EPS013;COMPANIA MUNDIAL DE SEGUROS;;
8600669427;EPS014;COMPENSAR E.P.S;;
805000427;EPS015;COOMEVA MP S.A.;;
899999068;EPS016;ECOPETROL;;
8300035647;EPS017;FAMISANAR EPS SAS;;
8300035643;EPS017;FAMISANAR EPS SAS PAC;;
8600101707;EPS018;GENERALI COLOMBIA VIDA CIA DE SEG. S.A.;;
8600086457;EPS019;LIBERTY SEGUROS DE VIDA S.A.;;
860043211;EPS020;LIGA CONTRA EL CANCER SECCIONAL BOGOTA;;
8001534248;EPS021;MEDISANITAS S.A. COMPANIA DE M.P.;;
8600023985;EPS022;METLIFE COLOMBIA SEG. DE VIDA S.A.;;
8600382991;EPS023;PAN AMERICAN LIFE DE COLOMBIA;;
8999999990;EPS024;PARTICULARES;;
999999999;EPS025;POLIZAS SOAT;;
8600111536;EPS026;POSITIVA COMPANIA DE SEGUROS S.A;;
8001309074;EPS027;SALUD TOTAL EPS;;
8002514406;EPS028;SANITAS S.A. E.P.S.;;
8600021846;EPS029;SEGUROS COLPATRIA S.A.;;
860009578;EPS030;SEGUROS DEL ESTADO;;
899999034;EPS031;SENA;;
8909037905;EPS032;SURAMERICANA SEG. DE VIDA S.A.;;
899999063;EPS033;UNIVERSIDAD NAL DE COLOMBIAUNISALUD;;
