PK_CODIGO_MAPIISS;DESCRIPCION_MAPIISS;UVR;VR_CIRUJANO;VR_ANESTESIOLOGO;VR_AYUDANTE;VR_SALA;VR_MATERIALES;VR_NETO;TIPO_EVENTO;FK_ID_CENTRO_COSTOS;FK_ID_TARIFARIO;APLICA_SEXO;DESCRIP_EVENTO;AUT_AMB;AUT_HOSP;CANT_MAXIMA;FK_NIVEL_ATENCION;FK_TIPO_RIPS
10101;"PUNCION CISTERNAL; VIA LATERAL";70;88900;67200;25200;48260;24270;253830;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
10102;"PUNCION CISTERNAL; VIA MEDIAL";70;88900;67200;25200;48260;24270;253830;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
10201;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO;30;38100;28800;0;13400;24270;104570;POS;2;1;Ambos;Cirugia:;SI;NO;1;1;AP
10202;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR  POR TREPANACION  ( SIN CATETER);105;133350;100800;37800;74275;24270;370495;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
10203;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE UN RESERVORIO;30;38100;28800;0;13400;24270;104570;POS;2;1;Ambos;Cirugia:;SI;NO;1;1;AP
10901;PUNCION SUBDURAL;105;133350;100800;37800;74275;24270;370495;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
11101;BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA;25;31750;24000;0;26790;32005;114545;POS;2;1;Ambos;Cirugia:;SI;NO;1;1;AP
11201;"BIOPSIA DE MENINGE; POR CRANEOTOMIA";95;120650;91200;34200;144645;109205;499900;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
11302;BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO;210;266700;201600;75600;279405;0;823305;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
11303;BIOPSIA  DE CEREBRO POR TREPANACION;210;266700;201600;75600;279405;0;823305;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
11304;BIOPSIA ESTEREOTAXICA DE CEREBRO    (131);250;317500;240000;90000;318255;0;965755;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12100;INCISION  Y DRENAJE DE SENO FRONTAL SOD *    (371);375;476250;360000;135000;471015;0;1442265;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12101;CRANEALIZACION DE SENO FRONTAL;230;292100;220800;82800;279405;0;875105;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12401;"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL; POR  CRANEOTOMIA";375;476250;360000;135000;471015;0;1442265;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12402;"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR; POR CRANEOTOMIA";375;476250;360000;135000;471015;0;1442265;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12410;EXTRACCION DE CUERPO EXTRANO INTRACRANEAL POR CRANEOTOMIA;375;476250;360000;135000;471015;0;1442265;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12501;"SECUESTRECTOMIA DE CRANEO; POR CRANIECTOMIA    (171)";90;114300;86400;32400;129655;95015;457770;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
12502;"DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL; POR  CRANIECTOMIA";555;704850;532800;199800;782550;0;2220000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
12503;"DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR; POR CRANIECTOMIA";555;704850;532800;199800;782550;0;2220000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13101;"DRENAJE DE ESPACIO SUBDURAL; POR CRANEOTOMIA";285;361950;273600;102600;356456;0;1094606;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13102;"DRENAJE DE ESPACIO SUBDURAL;  POR  TREPANACION";285;361950;273600;102600;356456;0;1094606;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13103;"DRENAJE  DE ESPACIO SUBDURAL  EN FOSA POSTERIOR;  POR CRANIECTOMIA";555;704850;532800;199800;782550;0;2220000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13104;"DRENAJE DE ESPACIO SUBDURAL ; POR DRENAJE EXTERNO";285;361950;273600;102600;356456;0;1094606;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13105;"DRENAJE DE ESPACIO SUBARACNOIDEO;  POR  DERIVACION CISTO PERITONEAL";210;266700;201600;75600;279405;0;823305;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13106;"DRENAJE DE ESPACIO SUBDURAL; POR DERIVACION SUBDURO PERITONEAL";210;266700;201600;75600;279405;0;823305;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13110;DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS;455;577850;436800;163800;641550;0;1820000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13201;SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA;420;533400;403200;151200;548020;0;1635820;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
13202;"SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES); POR CRANEOTOMIA    (132)";335;425450;321600;120600;445560;0;1313210;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
14101;TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS];420;533400;403200;151200;548020;0;1635820;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
14201;PALIDOTOMIA POR ESTEREOTAXIA;420;533400;403200;151200;548020;0;1635820;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
15101;"RESECCION TUMOR OSEO; POR CRANEOTOMIA";85;107950;81600;30600;129655;95015;444820;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
15102;"RESECCION TUMOR OSEO; POR CRANIECTOMIA";100;127000;96000;36000;144645;109205;512850;POS;4;1;Ambos;Cirugia:;SI;SI;1;2;AP
15104;CORRECCION DE DISPLASIA FIBROSA DEL CRANEO POR CRANIECTOMIA;315;400050;302400;113400;401015;0;1216865;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
15201;"RESECCION DE TUMOR DE LA BASE DEL CRANEO; FOSA ANTERIOR; POR VIA CRANEOFACIAL ANTERIOR";730;927100;700800;262800;1029300;0;2920000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
15202;"RESECCION DE TUMOR DE LA BASE DEL CRANEO; FOSA ANTERIOR; POR VIA CRANEOFACIAL ANTEROLATERAL";730;927100;700800;262800;1029300;0;2920000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
15203;"RESECCION DE TUMOR DE LA BASE DEL CRANEO; FOSA ANTERIOR; POR VIA  ANTEROLATERAL Y RINOTOMIA LATERAL";730;927100;700800;262800;1029300;0;2920000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
15204;"RESECCION DE TUMOR DE LA BASE DEL CRANEO; FOSA ANTERIOR; POR VIA  TRANSZIGOMATICA Y TRANSPALATAL";730;927100;700800;262800;1029300;0;2920000;POS;4;1;Ambos;Cirugia:;SI;SI;1;3;AP
