id;id_dpto;departamento;cod_dpto_rips
1;Co-Ama91;AMAZONAS;91
2;Co-Ant5;ANTIOQUIA;5
3;Co-Ara81;ARAUCA;81
4;Co-Atl8;ATLANTICO;8
5;Co-Bog01;BOGOTA D.C.;11
6;Co-Bol13;BOLIVAR;13
7;Co-Boy15;BOYACA;15
8;Co-Cal17;CALDAS;17
9;Co-Caq18;CAQUETA;18
10;Co-Cas85;CASANARE;85
11;Co-Cau19;CAUCA;19
12;Co-Ces20;CESAR;20
13;Co-Cho27;CHOCO;27
14;Co-Cor23;CORDOBA;23
15;Co-Cun25;CUNDINAMARCA;25
16;Co-Gua94;GUAINIA;94
17;Co-Gua95;GUAVIARE;95
18;Co-Hui41;HUILA;41
19;Co-La44;LA GUAJIRA;44
20;Co-Mag47;MAGDALENA;47
21;Co-Met50;META;50
22;Co-Nar52;NARIÑO;52
23;Co-Nor54;NORTE DE SANTANDER;54
24;Co-Put86;PUTUMAYO;86
25;Co-Qui63;QUINDIO;63
26;Co-Ris66;RISARALDA;66
27;Co-San68;SANTANDER;68
28;Co-San88;SAN ANDRES;88
29;Co-Suc70;SUCRE;70
30;Co-Tol73;TOLIMA;73
31;Co-Val76;VALLE DEL CAUCA;76
32;Co-Vau97;VAUPES;97
33;Co-Vic99;VICHADA;99
