pk_id_diagnostisco;pk_codido_diagnostico;descripcion_diagnostico;fk_id_tipo_origen;aplica_sexo
1;A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE;4;Ambos
2;A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR;4;Ambos
3;A009;COLERA NO ESPECIFICADO;4;Ambos
4;A010;FIEBRE TIFOIDEA;4;Ambos
5;A011;FIEBRE PARATIFOIDEA A;4;Ambos
6;A012;FIEBRE PARATIFOIDEA B;4;Ambos
7;A013;FIEBRE PARATIFOIDEA C;4;Ambos
8;A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA;4;Ambos
9;A020;ENTERITIS DEBIDA A SALMONELLA;4;Ambos
10;A021;SEPTICEMIA DEBIDA A SALMONELLA;4;Ambos
11;A022;INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA;4;Ambos
12;A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;4;Ambos
13;A029;INFECCI?N DEBIDA A SALMONELLA NO ESPECIFICADA;4;Ambos
14;A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;4;Ambos
15;A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;4;Ambos
16;A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;4;Ambos
17;A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;4;Ambos
18;A038;OTRAS SHIGELOSIS;4;Ambos
19;A039;SHIGELOSIS DE TIPO NO ESPECIFICADO;4;Ambos
20;A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;4;Ambos
21;A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;4;Ambos
22;A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;4;Ambos
23;A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;4;Ambos
24;A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;4;Ambos
25;A045;ENTERITIS DEBIDA A CAMPYLOBACTER;4;Ambos
26;A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;4;Ambos
27;A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;4;Ambos
28;A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;4;Ambos
29;A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA;4;Ambos
30;A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA;4;Ambos
31;A051;BOTULISMO;4;Ambos
32;A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII];4;Ambos
33;A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;4;Ambos
34;A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS;4;Ambos
35;A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;4;Ambos
36;A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA;4;Ambos
37;A060;DISENTERIA AMEBIANA AGUDA;4;Ambos
38;A061;AMEBIASIS INTESTINAL CRONICA;4;Ambos
39;A062;COLITIS AMEBIANA NO DISENTERICA;4;Ambos
40;A063;AMEBOMA INTESTINAL;4;Ambos
41;A064;ABSCESO AMEBIANO DEL HIGADO;4;Ambos
42;A065;ABSCESO AMEBIANO DEL PULMON (J99.8*);4;Ambos
43;A066;ABSCESO AMEBIANO DEL CEREBRO (G07*);4;Ambos
44;A067;AMEBIASIS CUTANEA;4;Ambos
45;A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES;4;Ambos
46;A069;AMEBIASIS, NO ESPECIFICADA;4;Ambos
47;A070;BALANTIDIASIS;4;Ambos
48;A071;GIARDIASIS [LAMBLIASIS];4;Ambos
49;A072;CRIPTOSPORIDIOSIS;4;Ambos
50;A073;ISOSPORIASIS;4;Ambos
51;A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS;4;Ambos
52;A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA;4;Ambos
53;A080;ENTERITIS DEBIDA A ROTAVIRUS;4;Ambos
54;A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK;4;Ambos
55;A082;ENTERITIS DEBIDA A ADENOVIRUS;4;Ambos
56;A083;OTRAS ENTERITIS VIRALES;4;Ambos
57;A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION;4;Ambos
58;A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS;4;Ambos
59;A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO;4;Ambos
60;A150;TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO;4;Ambos
61;A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO;4;Ambos
62;A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE;4;Ambos
63;A153;TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS;4;Ambos
64;A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;4;Ambos
65;A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;4;Ambos
66;A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;4;Ambos
67;A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;4;Ambos
68;A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE;4;Ambos
69;A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE;4;Ambos
70;A160;TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS;4;Ambos
71;A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO;4;Ambos
72;A162;TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;Ambos
73;A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;Ambos
74;A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;Ambos
75;A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;4;Ambos
76;A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA;4;Ambos
77;A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION;4;Ambos
78;A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;4;Ambos
79;A170;MENINGITIS TUBERCULOSA (G01*);4;Ambos
80;A171;TUBERCULOMA MENINGEO (G07*);4;Ambos
81;A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO;4;Ambos
82;A179;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*);4;Ambos
83;A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES;4;Ambos
84;A181;TUBERCULOSIS DEL APARATO GENITOURINARIO;4;Ambos
