id_diagnotisco;codigo;descripcion;id_tipo_origen;aplica_sexo
1;A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE;4;A
2;A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR;4;A
3;A009;COLERA NO ESPECIFICADO;4;A
4;A010;FIEBRE TIFOIDEA;4;A
5;A011;FIEBRE PARATIFOIDEA A;4;A
6;A012;FIEBRE PARATIFOIDEA B;4;A
7;A013;FIEBRE PARATIFOIDEA C;4;A
8;A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA;4;A
9;A020;ENTERITIS DEBIDA A SALMONELLA;4;A
10;A021;SEPTICEMIA DEBIDA A SALMONELLA;4;A
11;A022;INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA;4;A
12;A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;4;A
13;A029;INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA;4;A
14;A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;4;A
15;A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;4;A
16;A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;4;A
17;A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;4;A
18;A038;OTRAS SHIGELOSIS;4;A
19;A039;SHIGELOSIS DE TIPO NO ESPECIFICADO;4;A
20;A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;4;A
21;A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;4;A
22;A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;4;A
23;A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;4;A
24;A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;4;A
25;A045;ENTERITIS DEBIDA A CAMPYLOBACTER;4;A
26;A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;4;A
27;A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;4;A
28;A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;4;A
29;A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA;4;A
30;A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA;4;A
31;A051;BOTULISMO;4;A
32;A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII];4;A
33;A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;4;A
34;A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS;4;A
35;A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;4;A
36;A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA;4;A
37;A060;DISENTERIA AMEBIANA AGUDA;4;A
38;A061;AMEBIASIS INTESTINAL CRONICA;4;A
39;A062;COLITIS AMEBIANA NO DISENTERICA;4;A
40;A063;AMEBOMA INTESTINAL;4;A
41;A064;ABSCESO AMEBIANO DEL HIGADO;4;A
42;A065;ABSCESO AMEBIANO DEL PULMON (J99.8*);4;A
43;A066;ABSCESO AMEBIANO DEL CEREBRO (G07*);4;A
