CodigoDiagnostico;Descripcion
A000;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE
A001;COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR
A009;COLERA NO ESPECIFICADO
A010;FIEBRE TIFOIDEA
A011;FIEBRE PARATIFOIDEA A
A012;FIEBRE PARATIFOIDEA B
A013;FIEBRE PARATIFOIDEA C
A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA
A020;ENTERITIS DEBIDA A SALMONELLA
A021;SEPTICEMIA DEBIDA A SALMONELLA
A022;INFECCIONES LOCALIZADAS DEBIDA A SALMONELLA
A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
A029;INFECCIÓN DEBIDA A SALMONELLA NO ESPECIFICADA
A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE
A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI
A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII
A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI
A038;OTRAS SHIGELOSIS
A039;SHIGELOSIS DE TIPO NO ESPECIFICADO
A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA
A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA
A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA
A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA
A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI
A045;ENTERITIS DEBIDA A CAMPYLOBACTER
A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA
A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
A049;INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA
A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA
A051;BOTULISMO
A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII]
A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS
A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS
A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS
A059;INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA
A060;DISENTERIA AMEBIANA AGUDA
A061;AMEBIASIS INTESTINAL CRONICA
A062;COLITIS AMEBIANA NO DISENTERICA
A063;AMEBOMA INTESTINAL
A064;ABSCESO AMEBIANO DEL HIGADO
A065†;ABSCESO AMEBIANO DEL PULMON (J99.8*)
A066†;ABSCESO AMEBIANO DEL CEREBRO (G07*)
A067;AMEBIASIS CUTANEA
A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES
A069;AMEBIASIS, NO ESPECIFICADA
A070;BALANTIDIASIS
A071;GIARDIASIS [LAMBLIASIS]
A072;CRIPTOSPORIDIOSIS
A073;ISOSPORIASIS
A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS
A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA
A080;ENTERITIS DEBIDA A ROTAVIRUS
A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK
A082;ENTERITIS DEBIDA A ADENOVIRUS
A083;OTRAS ENTERITIS VIRALES
A084;INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION
A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS
A09;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A150;TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO
A151;TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO
A152;TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE
A153;TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS
A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A156;PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE
A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE
A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE
A160;TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS
A161;TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO
A162;TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A165;PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA
A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA
A168;OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION
A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA
A170†;MENINGITIS TUBERCULOSA (G01*)
A171†;TUBERCULOMA MENINGEO (G07*)
A178†;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO
A179†;TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)
A180†;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
A181;TUBERCULOSIS DEL APARATO GENITOURINARIO
A182;LINFADENOPATIA PERIFERICA TUBERCULOSA
A183;TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS
A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO
A185;TUBERCULOSIS DEL OJO
A186;TUBERCULOSIS DEL OIDO
A187†;TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*)
A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS
A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO
A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES
A192;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA
A198;OTRAS TUBERCULOSIS MILIARES
A199;TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION
A200;PESTE BUBONICA
A201;PESTE CELULOCUTANEA
A202;PESTE NEUMONICA
A203;MENINGITIS POR PESTE
A207;PESTE SEPTICEMICA
A208;OTRAS FORMAS DE PESTE
A209;PESTE, NO ESPECIFICADA
A210;TULAREMIA ULCEROGLANDULAR
A211;TULAREMIA OCULOGLANDULAR
A212;TULAREMIA PULMONAR
A213;TULAREMIA GASTROINTESTINAL
A217;TULAREMIA GENERALIZADA
A218;OTRAS FORMAS DE TULAREMIA
A219;TULAREMIA , NO ESPECIFICADA
A220;CARBUNCO CUTANEO
A221;CARBUNCO PULMONAR
A222;CARBUNCO GASTROINTESTINAL
A227;CARBUNCO SEPTICEMICO
A228;OTRAS FORMAS DE CARBUNCO
A229;CARBUNCO, NO ESPECIFICADO
A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS
A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS
A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS
A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS
A238;OTRAS BRUCELOSIS
A239;BRUCELOSIS, NO ESPECIFICADA
A240;MUERMO
A241;MELIOIDOSIS AGUDA Y FULMINANTE
A242;MELIOIDOSIS SUBAGUDA Y CRONICA
A243;OTRAS MELIOIDOSIS
A244;MELIOIDOSIS , NO ESPECIFICADA
A250;ESPIRILOSIS
A251;ESTREPTOBACILOSIS
A259;FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA
A260;ERISIPELOIDE CUTANEO
A267;SEPTICEMIA POR ERYSIPELOTHRIX
A268;OTRAS FORMAS DE ERISIPELOIDE
A269;ERISIPELOIDE, NO ESPECIFICADA
A270;LEPTOSPIROSIS ICTEROHEMORRAGICA
A278;OTRAS FORMAS DE LEPTOSPIROSIS
A279;LEPTOSPIROSIS, NO ESPECIFICADA
A280;PASTEURELOSIS
A281;ENFERMEDAD POR RASGUÑO DE GATO
A282;YERSINIOSIS EXTRAINTESTINAL
A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE
A289;ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION
A300;LEPRA INDETERMINADA
A301;LEPRA TUBERCULOIDE
A302;LEPRA TUBERCULOIDE LIMITROFE
A303;LEPRA LIMITROFE
A304;LEPRA LEPROMATOSA LIMITROFE
A305;LEPRA LEPROMATOSA
A308;OTRAS FORMAS DE LEPRA
A309;LEPRA, NO ESPECIFICADA
A310;INFECCIONES POR MICOBACTERIAS PULMONARES
A311;INFECCION CUTANEA POR MICOBACTERIAS
A318;OTRAS INFECCIONES POR MICOBACTERIAS
A319;INFECCION POR MICOBACTERIA, NO ESPECIFICADA
A320;LISTERIOSIS CUTANEA
A321†;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA
A327;SEPTICEMIA LISTERIANA
A328;OTRAS FORMAS DE LISTERIOSIS
A329;LISTERIOSIS, NO ESPECIFICADA
A33;TETANOS NEONATAL
A34;TETANOS OBSTETRICO
A35;OTROS TETANOS
A360;DIFTERIA FARINGEA
A361;DIFTERIA NASOFARINGEA
A362;DIFTERIA LARINGEA
A363;DIFTERIA CUTANEA
A368;OTRAS DIFTERIAS
A369;DIFTERIA, NO ESPECIFICADA
A370;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
A371;TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS
A378;TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA
A379;TOS FERINA, NO ESPECIFICADA
A38;ESCARLATINA
A390†;MENINGITIS MENINGOCOCICA (G01*)
A391†;SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*)
A392;MENINGOCOCEMIA AGUDA
A393;MENINGOCOCEMIA CRONICA
A394;MENINGOCOCEMIA, NO ESPECIFICADA
A395†;ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO
A398;OTRAS INFECCIONES MENINGOCOCICAS
A399;INFECCION MENINGOCOCICA, NO ESPECIFICADA
A400;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A
A401;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B
A402;SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D
A403;SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
A408;OTRAS SEPTICEMIAS ESTREPTOCOCICAS
A409;SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA
A410;SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS
A411;SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO
A412;SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO
A413;SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE
A414;SEPTICEMIA DEBIDA A ANAEROBIOS
A415;SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS
A418;OTRAS SEPTICEMIAS ESPECIFICADAS
A419;SEPTICEMIA, NO ESPECIFICADA
A420;ACTINOMICOSIS PULMONAR
A421;ACTINOMICOSIS ABDOMINAL
A422;ACTINOMICOSIS CERVICOFACIAL
A427;SEPTICEMIA ACTINOMICOTICA
A428;OTRAS FORMAS DE ACTINOMICOSIS
A429;ACTINOMICOSIS, SIN OTRA ESPECIFICACION
A430;NOCARDIOSIS PULMONAR
A431;NOCARDIOSIS CUTANEA
A438;OTRAS FORMAS DE NOCARDIOSIS
A439;NORCARDIOSIS , NO ESPECIFICADA
A440;BARTONELOSIS SISTEMICA
A441;BARTONELOSIS CUTANEA Y MUCOCUTANEA
A448;OTRAS FORMAS DE BARTONELOSIS
A449;BARTONELOSIS, NO ESPECIFICADA
A46;ERISIPELA
A480;GANGRENA GASEOSA
A481;ENFERMEDAD DE LOS LEGIONARIOS
A482;ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC]
A483;SINDROME DE CHOQUE TOXICO
A484;FIEBRE PURPURICA BRASILEÑA
A488;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
A490;INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN
A491;INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION
A492;INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION
A493;INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION
A498;OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO
A499;INFECCION BACTERIANA, NO ESPECIFICADA
A500;SIFILIS CONGENITA PRECOZ, SINTOMATICA
A501;SIFILIS CONGENITA PRECOZ, LATENTE
A502;SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN
A503;OCULOPATIA SIFILITICA CONGENITA TARDIA
A504;NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL]
A505;OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA
A506;SIFILIS CONGENITA TARDIA, LATENTE
A507;SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION
A509;SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN
A510;SIFILIS GENITAL PRIMARIA
A511;SIFILIS PRIMARIA ANAL
A512;SIFILIS PRIMARIA EN OTROS SITIOS
A513;SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS
