id;id_espec;especilidad
1;esp01;ALERGOLOGIA
2;esp02;ANALISIS CLINICOS 
3;esp03;ANATONOMIA Y PATOLOGICA
4;esp04;ANESTESIA/REANIMACION
5;esp05;ANGIOLOGIA Y CIRUGIA   VASCULAR 
6;esp06;APARATO DIGESTIVO
7;esp07;BIOQUIMICA CLINICA
8;esp08;CARDIOLOGIA
9;esp09;CIRUGIA CARDIOVASCULAR
10;esp10;CIRUGIA GENERAL Y APARATO DIGESTIVO
11;esp11;CIRUGIA ORAL Y MAXILOFACIAL
12;esp12;CIRUGIA PEDIATRICA
13;esp13;CIRUGIA PLASTICA Y REPARADORA
14;esp14;CIRUGIA TORACICA
15;esp15;DERMATOLOGIA/VENEREOLOGIA
16;esp16;ENDOCRINOLOGIA Y NUTRICION
17;esp17;ESTOMATOLOGIA
18;esp18;FARMACOLOGIA CLINICA
19;esp19;GERIATRIA
20;esp20;GINECOLOGIA/OBSTETRICIA
21;esp21;HEMATOLOGIA Y HEMOTERAPIA
22;esp22;HIDROLOGIA
23;esp23;INMUNULOGIA
24;esp24;MEDICINA DEL TRABAJO
25;esp25;MEDICINA EDUCACION FISICA Y DEPORTE
26;esp26;MEDICINA ESPACIAL
27;esp27;MEDICINA FAMILIAR Y COMUNITARIA
28;esp28;MEDICINA INTENSIVA
29;esp29;MEDICINA INTERNA
30;esp30;MEDICINA LEGAL Y FORENSE
31;esp31;MEDICINA NUCLEAR
32;esp32;MEDICINA PREVENTIVA Y SALUD PUBLICA
33;esp33;MICROBIOLOGIA/PARASITOLOGIA
34;esp34;NEFROLOGIA
35;esp35;NEUMOLOGIA
36;esp36;NEUROCIRUGIA
37;esp37;NEUROFISIOLOGIA CLINICA
38;esp38;NEUROLOGIA
39;esp39;OFTALMOLOGIA
40;esp40;ONCOLOGIA MEDICA
41;esp41;ONCOLOGIA RADIOTERAPICA
42;esp42;ORTOPEDIA/TRAUMATOLOGIA
43;esp43;OTORRINOLARINGOLOGIA
44;esp44;PEDIATRIA
45;esp45;PSIQUIATRIA
46;esp46;RADIODIAGNOSTICO
47;esp47;REHABILITACION
48;esp48;REUMATOLOGIA
49;esp49;UROLOGIA
