Cod. Iss2001;Descripcion
10101;PUNCIÓN CISTERNAL, VÍA LATERAL
10102;PUNCIÓN CISTERNAL, VÍA MEDIAL
10201;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO
10202;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR  POR TREPANACION  ( SIN CATETER)
10203;PUNCION [ASPIRACION DE LIQUIDO] VENTRICULAR A TRAVES DE UN RESERVORIO
10901;PUNCION SUBDURAL
11101;BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA
11201;BIOPSIA DE MENINGE, POR CRANEOTOMIA
11302;BIOPSIA ABIERTA ( CRANEOTOMIA) DE CEREBRO
11303;BIOPSIA  DE CEREBRO POR TREPANACION
11304;BIOPSIA ESTEREOTAXICA DE CEREBRO    (131)
12100;INCISION  Y DRENAJE DE SENO FRONTAL SOD *    (371)
12101;CRANEALIZACION DE SENO FRONTAL
12401;DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR  CRANEOTOMIA
12402;DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA
12410;EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMIA
12501;SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA    (171)
12502;DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR  CRANIECTOMIA
12503;DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA
13101;DRENAJE DE ESPACIO SUBDURAL , POR CRANEOTOMIA
13102;DRENAJE DE ESPACIO SUBDURAL ,  POR  TREPANACION
13103;DRENAJE  DE ESPACIO SUBDURAL  EN FOSA POSTERIOR,  POR CRANIECTOMIA
13104;DRENAJE DE ESPACIO SUBDURAL  , POR DRENAJE EXTERNO
13105;DRENAJE DE ESPACIO SUBARACNOIDEO,  POR  DERIVACION CISTO PERITONEAL
13106;DRENAJE DE ESPACIO SUBDURAL, POR DERIVACION SUBDURO PERITONEAL
13110;DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS
13201;SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) POR ABLACION [TERMOLESION] ESTEREOTAXICA
13202;SECCION DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) , POR CRANEOTOMIA    (132)
14101;TALAMOTOMIA POR ESTEREOTAXIA [ESTIMULACION Y/O ABLACION DE UNO DE SUS NUCLEOS]
14201;PALIDOTOMIA POR ESTEREOTAXIA
15101;RESECCION TUMOR OSEO, POR CRANEOTOMIA
15102;RESECCION TUMOR OSEO, POR CRANIECTOMIA
