ID;FK_DEPARTAMENTO;ID_CODIGO_MUNICIPIO;NOMBRE_MUNICIPIO
1;Co-Ama91;91001;LETICIA
2;Co-Ama91;91540;PUERTO NARIÑO
3;Co-Ant5;5001;MEDELLIN
4;Co-Ant5;5002;ABEJORRAL
5;Co-Ant5;5004;ABRIAQUI
6;Co-Ant5;5021;ALEJANDRIA
7;Co-Ant5;5030;AMAGA
8;Co-Ant5;5031;AMALFI
9;Co-Ant5;5034;ANDES
10;Co-Ant5;5036;ANGELOPOLIS
11;Co-Ant5;5038;ANGOSTURA
12;Co-Ant5;5040;ANORI
13;Co-Ant5;5044;ANZA
14;Co-Ant5;5045;APARTADO
15;Co-Ant5;5051;ARBOLETES
16;Co-Ant5;5055;ARGELIA
17;Co-Ant5;5059;ARMENIA
18;Co-Ant5;5079;BARBOSA
19;Co-Ant5;5086;BELMIRA
20;Co-Ant5;5088;BELLO
21;Co-Ant5;5091;BETANIA
22;Co-Ant5;5093;BETULIA
23;Co-Ant5;5101;BOLIVAR
24;Co-Ant5;5107;BRICEÑO
25;Co-Ant5;5113;BURITICA
26;Co-Ant5;5120;CACERES
27;Co-Ant5;5125;CAICEDO
28;Co-Ant5;5129;CALDAS
29;Co-Ant5;5134;CAMPAMENTO
30;Co-Ant5;5138;CAÑASGORDAS
31;Co-Ant5;5142;CARACOLI
32;Co-Ant5;5145;CARAMANTA
33;Co-Ant5;5147;CAREPA
34;Co-Ant5;5148;CARMEN DE VIBORAL
35;Co-Ant5;5150;CAROLINA
36;Co-Ant5;5154;CAUCASIA
37;Co-Ant5;5172;CHIGORODO
38;Co-Ant5;5190;CISNEROS
39;Co-Ant5;5197;COCORNA
40;Co-Ant5;5206;CONCEPCION
41;Co-Ant5;5209;CONCORDIA
42;Co-Ant5;5212;COPACABANA
43;Co-Ant5;5234;DABEIBA
44;Co-Ant5;5237;DON MATIAS
45;Co-Ant5;5240;EBEJICO
46;Co-Ant5;5250;EL BAGRE
47;Co-Ant5;5264;ENTRERRIOS
48;Co-Ant5;5266;ENVIGADO
49;Co-Ant5;5282;FREDONIA
50;Co-Ant5;5284;FRONTINO
51;Co-Ant5;5306;GIRALDO
52;Co-Ant5;5308;GIRARDOTA
53;Co-Ant5;5310;GOMEZ PLATA
54;Co-Ant5;5313;GRANADA
55;Co-Ant5;5315;GUADALUPE
56;Co-Ant5;5318;GUARNE
57;Co-Ant5;5321;GUATAPE
58;Co-Ant5;5347;HELICONIA
59;Co-Ant5;5353;HISPANIA
60;Co-Ant5;5360;ITAGÜI
61;Co-Ant5;5361;ITUANGO
62;Co-Ant5;5364;JARDIN
63;Co-Ant5;5368;JERICO
64;Co-Ant5;5376;LA CEJA
65;Co-Ant5;5380;LA ESTRELLA
66;Co-Ant5;5390;LA PINTADA
67;Co-Ant5;5400;LA UNION
68;Co-Ant5;5411;LIBORINA
69;Co-Ant5;5425;MACEO
70;Co-Ant5;5440;MARINILLA
71;Co-Ant5;5467;MONTEBELLO
72;Co-Ant5;5475;MURINDO
73;Co-Ant5;5480;MUTATA
74;Co-Ant5;5483;NARIÑO
75;Co-Ant5;5490;NECOCLI
76;Co-Ant5;5495;NECHI
77;Co-Ant5;5501;OLAYA
78;Co-Ant5;5541;PEÑOL
79;Co-Ant5;5543;PEQUE
80;Co-Ant5;5576;PUEBLORRICO
81;Co-Ant5;5579;PUERTO BERRIO
82;Co-Ant5;5585;PUERTO NARE
83;Co-Ant5;5591;PUERTO TRIUNFO
84;Co-Ant5;5604;REMEDIOS
85;Co-Ant5;5607;RETIRO
86;Co-Ant5;5615;RIONEGRO
87;Co-Ant5;5628;SABANALARGA
88;Co-Ant5;5631;SABANETA
89;Co-Ant5;5642;SALGAR
90;Co-Ant5;5647;SAN ANDRES DE CUERQUIA
91;Co-Ant5;5649;SAN CARLOS
92;Co-Ant5;5652;SAN FRANCISCO
93;Co-Ant5;5656;SAN JERONIMO
94;Co-Ant5;5658;SAN JOSE DE MONTAÑA
95;Co-Ant5;5659;SAN JUAN DE URABA
96;Co-Ant5;5660;SAN LUIS
97;Co-Ant5;5664;SAN PEDRO
98;Co-Ant5;5665;SAN PEDRO DE URABA
99;Co-Ant5;5667;SAN RAFAEL
100;Co-Ant5;5670;SAN ROQUE
101;Co-Ant5;5674;SAN VICENTE
102;Co-Ant5;5679;SANTA BARBARA
103;Co-Ant5;5685;SANTA FE DE ANTIOQUIA
104;Co-Ant5;5686;SANTA ROSA DE OSOS
105;Co-Ant5;5690;SANTO DOMINGO
106;Co-Ant5;5697;SANTUARIO
107;Co-Ant5;5736;SEGOVIA
108;Co-Ant5;5756;SONSON
109;Co-Ant5;5761;SOPETRAN
110;Co-Ant5;5789;TAMESIS
111;Co-Ant5;5790;TARAZA
112;Co-Ant5;5792;TARSO
113;Co-Ant5;5809;TITIRIBI
114;Co-Ant5;5819;TOLEDO
115;Co-Ant5;5837;TURBO
116;Co-Ant5;5842;URAMITA
117;Co-Ant5;5847;URRAO
118;Co-Ant5;5854;VALDIVIA
