id;id_tarifario;codigo_compuesto;codigo_simple
1;1;103106;103108
2;1;128800;128100
3;1;115101;128800
4;1;115301;128800
5;1;126400;103105
6;1;C40489;103105
7;1;C40489;126400
8;1;145101;128402
9;1;145101;128403
10;1;145101;128401
11;1;C40476;147401
12;1;C40477;147401
13;1;147401;146100
14;1;186200;184100
15;1;186200;581010
16;1;561101;584700
17;1;205101;205102
18;1;205102;205101
19;1;356100;218802
20;1;225300;213101
21;1;225300;226400
22;1;225300;M03468
23;1;225300;226401
24;1;225300;226304
25;1;226305;225300
26;1;226305;213101
27;1;226305;226400
28;1;226305;M03468
29;1;226305;226401
30;1;226305;226304
31;1;226305;226303
32;1;226305;226302
33;1;311300;972300
34;1;311300;973700
35;1;317400;972300
36;1;317400;973700
37;1;317501;295500
38;1;383301;381301
39;1;384301;381301
40;1;393201;397202
41;1;393202;397203
42;1;393203;397205
43;1;393204;397206
44;1;385201;397202
45;1;385202;397203
46;1;385203;397205
47;1;385204;397206
48;1;C40485;M02605
49;1;383202;380201
50;1;383203;380202
51;1;383204;380203
52;1;383205;380204
53;1;381400;381603
54;1;392400;360600
55;1;392501;360600
56;1;392502;360600
57;1;358308;358803
58;1;358308;381501
59;1;356201;358803
60;1;356201;381501
61;1;356201;356202
62;1;356201;381301
63;1;356201;381302
64;1;356201;381303
65;1;356201;381801
66;1;356201;381802
67;1;356201;381603
68;1;356201;381400
69;1;356201;381500
70;1;356201;381601
71;1;356201;381602
72;1;356201;381201
73;1;356201;381202
74;1;358801;358803
75;1;358801;381501
76;1;358801;356202
77;1;358801;381301
78;1;358801;381302
79;1;358801;381303
80;1;358801;381801
81;1;358801;381802
82;1;358801;381603
83;1;358801;381400
84;1;358801;381500
85;1;358801;381601
86;1;358801;381602
87;1;358308;356202
88;1;358308;381301
89;1;358308;381302
90;1;358308;381303
91;1;358308;381801
92;1;358308;381802
93;1;358308;381603
94;1;358308;381400
95;1;358308;381500
96;1;358308;381601
97;1;358308;381602
98;1;356100;358803
99;1;356100;381501
100;1;356100;356202
101;1;356100;381301
102;1;356100;381302
103;1;356100;381303
104;1;356100;381801
105;1;356100;381802
106;1;356100;381603
107;1;356100;381400
108;1;356100;381500
109;1;356100;381601
110;1;356100;381602
111;1;380101;356201
112;1;380101;356202
113;1;380102;356201
114;1;380102;356202
115;1;380103;356201
116;1;380103;356202
117;1;380104;356201
118;1;380104;356202
119;1;356202;381201
120;1;356202;381202
121;1;373301;379401
122;1;373301;379402
123;1;373302;379401
124;1;373302;379402
125;1;373303;379401
126;1;373303;379402
127;1;512102;371200
128;1;352500;352100
129;1;352500;352200
130;1;352100;352200
131;1;361100;381203
132;1;361100;381301
133;1;361100;381302
134;1;361100;381303
135;1;361100;381801
136;1;361100;381802
137;1;361100;381201
138;1;361100;381202
139;1;361100;381603
140;1;361100;381400
141;1;361100;381500
142;1;361100;381601
143;1;361100;381602
144;1;361100;381501
145;1;361200;381203
146;1;361200;381301
147;1;361200;381302
148;1;361200;381303
149;1;361200;381801
150;1;361200;381802
151;1;361200;381201
152;1;361200;381202
153;1;361200;381603
154;1;361200;381400
155;1;361200;381500
156;1;361200;381601
157;1;361200;381602
158;1;361200;381501
159;1;361300;381203
160;1;361300;381301
161;1;361300;381302
162;1;361300;381303
163;1;361300;381801
164;1;361300;381802
165;1;361300;381201
166;1;361300;381202
167;1;361300;381603
168;1;361300;381400
169;1;361300;381500
170;1;361300;381601
171;1;361300;381602
172;1;361300;381501
173;1;361400;381203
174;1;361400;381301
175;1;361400;381302
176;1;361400;381303
177;1;361400;381801
178;1;361400;381802
179;1;361400;381201
180;1;361400;381202
181;1;361400;381603
182;1;361400;381400
183;1;361400;381500
184;1;361400;381601
185;1;361400;381602
186;1;361400;381501
187;1;361501;381203
188;1;361501;381301
189;1;361501;381302
190;1;361501;381303
191;1;361501;381801
192;1;361501;381802
193;1;361501;381201
194;1;361501;381202
195;1;361501;381603
196;1;361501;381400
197;1;361501;381500
198;1;361501;381601
199;1;361501;381602
200;1;361501;381501
201;1;361701;381203
202;1;361701;381301
203;1;361701;381302
204;1;361701;381303
205;1;361701;381801
206;1;361701;381802
207;1;361701;381201
208;1;361701;381202
209;1;361701;381603
210;1;361701;381400
211;1;361701;381500
212;1;361701;381601
213;1;361701;381602
214;1;361701;381501
215;1;362100;386402
216;1;362200;386402
217;1;362300;386402
218;1;363200;392800
219;1;363200;392203
220;1;363200;392204
221;1;377401;348500
222;1;377401;377800
223;1;377401;378200
224;1;377401;378300
225;1;343301;405301
226;1;343301;405302
227;1;343301;405402
228;1;343301;405401
229;1;343302;405301
230;1;343302;405302
231;1;343302;405402
232;1;343302;405401
233;1;405302;405301
234;1;405302;405302
235;1;405302;405402
236;1;405302;405401
237;1;405302;343302
238;1;405302;405302
239;1;349201;340400
240;1;325400;C40586
241;1;325400;C40593
242;1;325400;C40595
243;1;424100;303200
244;1;424200;303200
245;1;303200;424100
246;1;424200;424100
247;1;542500;542301
248;1;547100;546100
249;1;547100;547300
250;1;522200;529501
251;1;415100;416100
252;1;416100;415100
253;1;415100;414300
254;1;445100;541400
255;1;469400;541400
256;1;C40425;541400
257;1;444000;541400
258;1;444100;541400
259;1;444200;541400
260;1;C40416;541400
261;1;442000;433100
262;1;578301;467700
263;1;410100;413101
264;1;410100;410200
265;1;410100;410300
266;1;410100;410400
267;1;410200;413101
268;1;410200;410100
269;1;410200;410300
270;1;410200;410400
271;1;410300;413101
272;1;410300;410100
273;1;410300;410200
274;1;410300;410400
275;1;410400;413101
276;1;410400;410100
277;1;410400;410200
278;1;410400;410300
279;1;490700;495100
280;1;490700;495200
281;1;490700;495300
282;1;494601;495100
283;1;494601;495200
284;1;494601;495300
285;1;494601;494602
286;1;494601;C40410
287;1;C40410;494602
288;1;555600;70000
289;1;M18713;571101
290;1;577150;405500
291;1;577150;599110
292;1;688101;688200
293;1;688101;688300
294;1;612100;609100
295;1;612100;619100
296;1;612100;629100
297;1;612100;639100
298;1;631301;609100
