id,id_tarifario,cod_articulo,codigo_cups,porcentaje,tipo_variacion,paragrafo
1,1,22,350100,40,descuento,paragrafo 1
2,1,22,350200,40,descuento,paragrafo 1
3,1,22,350300,40,descuento,paragrafo 1
4,1,22,350400,40,descuento,paragrafo 1
5,1,22,354200,40,descuento,paragrafo 1
6,1,22,355102,40,descuento,paragrafo 1
7,1,22,358303,40,descuento,paragrafo 1
8,1,22,358710,40,descuento,paragrafo 1
9,1,22,360101,40,descuento,paragrafo 1
10,1,22,360102,40,descuento,paragrafo 1
11,1,22,360201,40,descuento,paragrafo 1
12,1,22,360401,40,descuento,paragrafo 1
13,1,22,360500,40,descuento,paragrafo 1
14,1,22,360600,40,descuento,paragrafo 1
15,1,22,370100,40,descuento,paragrafo 1
16,1,22,372101,40,descuento,paragrafo 1
17,1,22,372200,40,descuento,paragrafo 1
18,1,22,372300,40,descuento,paragrafo 1
19,1,22,372301,40,descuento,paragrafo 1
20,1,22,372400,40,descuento,paragrafo 1
21,1,22,372401,40,descuento,paragrafo 1
22,1,22,372501,40,descuento,paragrafo 1
23,1,22,373401,40,descuento,paragrafo 1
24,1,22,373402,40,descuento,paragrafo 1
25,1,22,377800,40,descuento,paragrafo 1
26,1,22,378200,40,descuento,paragrafo 1
27,1,22,378300,40,descuento,paragrafo 1
28,1,22,378500,40,descuento,paragrafo 1
29,1,22,378900,40,descuento,paragrafo 1
30,1,22,379500,40,descuento,paragrafo 1
31,1,22,379900,40,descuento,paragrafo 1
32,1,22,380110,40,descuento,paragrafo 1
33,1,22,380210,40,descuento,paragrafo 1
34,1,22,380602,40,descuento,paragrafo 1
35,1,22,380702,40,descuento,paragrafo 1
36,1,22,380810,40,descuento,paragrafo 1
37,1,22,380910,40,descuento,paragrafo 1
38,1,22,382301,40,descuento,paragrafo 1
39,1,22,385120,40,descuento,paragrafo 1
40,1,22,385220,40,descuento,paragrafo 1
41,1,22,385320,40,descuento,paragrafo 1
42,1,22,385401,40,descuento,paragrafo 1
43,1,22,385520,40,descuento,paragrafo 1
44,1,22,385620,40,descuento,paragrafo 1
45,1,22,385720,40,descuento,paragrafo 1
46,1,22,385820,40,descuento,paragrafo 1
47,1,22,385920,40,descuento,paragrafo 1
48,1,22,386301,40,descuento,paragrafo 1
49,1,22,386402,40,descuento,paragrafo 1
50,1,22,387300,40,descuento,paragrafo 1
51,1,22,389103,40,descuento,paragrafo 1
52,1,22,391704,40,descuento,paragrafo 1
53,1,22,395010,40,descuento,paragrafo 1
54,1,22,395012,40,descuento,paragrafo 1
55,1,22,395013,40,descuento,paragrafo 1
56,1,22,395014,40,descuento,paragrafo 1
57,1,22,395015,40,descuento,paragrafo 1
58,1,22,395016,40,descuento,paragrafo 1
59,1,22,395017,40,descuento,paragrafo 1
60,1,22,395021,40,descuento,paragrafo 1
61,1,22,395030,40,descuento,paragrafo 1
62,1,22,395031,40,descuento,paragrafo 1
63,1,22,395060,40,descuento,paragrafo 1
64,1,22,395061,40,descuento,paragrafo 1
65,1,22,395080,40,descuento,paragrafo 1
66,1,22,395081,40,descuento,paragrafo 1
67,1,22,395200,40,descuento,paragrafo 1
68,1,22,395302,40,descuento,paragrafo 1
69,1,22,428100,40,descuento,paragrafo 1
70,1,22,510400,40,descuento,paragrafo 1
71,1,22,519600,40,descuento,paragrafo 1
72,1,22,550301,40,descuento,paragrafo 1
73,1,22,550401,40,descuento,paragrafo 1
74,1,22,851101,40,descuento,paragrafo 1
75,1,22,851301,40,descuento,paragrafo 1
76,1,22,851302,40,descuento,paragrafo 1
77,1,22,872201,40,descuento,paragrafo 1
78,1,22,872202,40,descuento,paragrafo 1
79,1,22,874111,40,descuento,paragrafo 1
80,1,22,874112,40,descuento,paragrafo 1
81,1,22,874113,40,descuento,paragrafo 1
82,1,22,874114,40,descuento,paragrafo 1
83,1,22,874121,40,descuento,paragrafo 1
84,1,22,874122,40,descuento,paragrafo 1
85,1,22,874123,40,descuento,paragrafo 1
86,1,22,874124,40,descuento,paragrafo 1
87,1,22,874125,40,descuento,paragrafo 1
88,1,22,874131,40,descuento,paragrafo 1
89,1,22,874132,40,descuento,paragrafo 1
90,1,22,874133,40,descuento,paragrafo 1
91,1,22,874134,40,descuento,paragrafo 1
92,1,22,874200,40,descuento,paragrafo 1
93,1,22,874300,40,descuento,paragrafo 1
94,1,22,874510,40,descuento,paragrafo 1
95,1,22,874601,40,descuento,paragrafo 1
96,1,22,874602,40,descuento,paragrafo 1
97,1,22,874700,40,descuento,paragrafo 1
98,1,22,874800,40,descuento,paragrafo 1
99,1,22,875100,40,descuento,paragrafo 1
100,1,22,875411,40,descuento,paragrafo 1
101,1,22,875412,40,descuento,paragrafo 1
102,1,22,875421,40,descuento,paragrafo 1
103,1,22,875422,40,descuento,paragrafo 1
104,1,22,875431,40,descuento,paragrafo 1
105,1,22,875432,40,descuento,paragrafo 1
106,1,22,875441,40,descuento,paragrafo 1
107,1,22,875442,40,descuento,paragrafo 1
108,1,22,875501,40,descuento,paragrafo 1
109,1,22,875510,40,descuento,paragrafo 1
110,1,22,875520,40,descuento,paragrafo 1
111,1,22,875530,40,descuento,paragrafo 1
112,1,22,875601,40,descuento,paragrafo 1
113,1,22,875603,40,descuento,paragrafo 1
114,1,22,876110,40,descuento,paragrafo 1
115,1,22,876120,40,descuento,paragrafo 1
116,1,22,876121,40,descuento,paragrafo 1
117,1,22,876122,40,descuento,paragrafo 1
118,1,22,876130,40,descuento,paragrafo 1
119,1,22,876131,40,descuento,paragrafo 1
120,1,22,876132,40,descuento,paragrafo 1
121,1,22,876137,40,descuento,paragrafo 1
122,1,22,876140,40,descuento,paragrafo 1
123,1,22,876190,40,descuento,paragrafo 1
124,1,22,876212,40,descuento,paragrafo 1
125,1,22,876241,40,descuento,paragrafo 1
126,1,22,876320,40,descuento,paragrafo 1
127,1,22,876400,40,descuento,paragrafo 1
128,1,22,876500,40,descuento,paragrafo 1
129,1,22,876611,40,descuento,paragrafo 1
130,1,22,876612,40,descuento,paragrafo 1
131,1,22,876901,40,descuento,paragrafo 1
132,1,22,876902,40,descuento,paragrafo 1
133,1,22,877110,40,descuento,paragrafo 1
134,1,22,877111,40,descuento,paragrafo 1
135,1,22,877121,40,descuento,paragrafo 1
136,1,22,877122,40,descuento,paragrafo 1
137,1,22,877131,40,descuento,paragrafo 1
138,1,22,877132,40,descuento,paragrafo 1
139,1,22,877141,40,descuento,paragrafo 1
140,1,22,877161,40,descuento,paragrafo 1
141,1,22,877171,40,descuento,paragrafo 1
142,1,22,877210,40,descuento,paragrafo 1
143,1,22,877214,40,descuento,paragrafo 1
144,1,22,877281,40,descuento,paragrafo 1
145,1,22,877301,40,descuento,paragrafo 1
146,1,22,877302,40,descuento,paragrafo 1
147,1,22,877400,40,descuento,paragrafo 1
148,1,22,877601,40,descuento,paragrafo 1
149,1,22,877812,40,descuento,paragrafo 1
150,1,22,877816,40,descuento,paragrafo 1
151,1,22,877831,40,descuento,paragrafo 1
