id;via_acceso;id_tarifario
1;unico_evento;1
2;misma_via;1
3;diferente_via;1
4;bilateral;1
5;cirugia_endoscopica;1
6;unico_evento;2
7;misma_via;2
8;diferente_via;2
9;bilateral;2
10;cirugia_endoscopica;2
11;unico_evento;3
12;misma_via;3
13;diferente_via;3
14;bilateral;3
15;cirugia_endoscopica;3
16;unico_evento;4
17;dif_via_bilateral;4
18;unica_via_mismo_esp;4
19;unica_via_dif_esp;4
20;dif_via_dif_esp;4
21;cirugia_endoscopica;4
22;unico_evento;5
23;dif_via_bilateral;5
24;unica_via_mismo_esp;5
25;unica_via_dif_esp;5
26;Dif_via_dif_esp;5
27;cirugia_endoscopica;5
