id;id_via_acceso;descripcion_honorario;porcentaje
1;1;cirujano;100
2;1;anestesiologo;100
3;1;ayudante;100
4;1;sala;100
5;1;materiales;100
6;2;cirujano;60
7;2;anestesiologo;60
8;2;ayudante;60
9;2;sala;50
10;2;materiales;50
11;3;cirujano;75
12;3;anestesiologo;75
13;3;ayudante;75
14;3;sala;50
15;3;materiales;50
16;4;cirujano;75
17;4;anestesiologo;75
18;4;ayudante;75
19;4;sala;50
20;4;materiales;50
21;5;cirujano;100
22;5;anestesiologo;0
23;5;ayudante;0
24;5;sala;40
25;5;materiales;100
26;6;cirujano;100
27;6;anestesiologo;100
28;6;ayudante;100
29;6;sala;100
30;6;materiales;100
31;7;cirujano;60
32;7;anestesiologo;60
33;7;ayudante;60
34;7;sala;50
35;7;materiales;50
36;8;cirujano;75
37;8;anestesiologo;75
38;8;ayudante;75
39;8;sala;50
40;8;materiales;50
41;9;cirujano;75
42;9;anestesiologo;75
43;9;ayudante;75
44;9;sala;50
45;9;materiales;50
46;10;cirujano;100
47;10;anestesiologo;0
48;10;ayudante;0
49;10;sala;40
50;10;materiales;100
51;11;cirujano;100
52;11;anestesiologo;0
53;11;ayudante;0
54;11;sala;0
55;11;materiales;100
56;12;cirujano;55
57;12;anestesiologo;0
58;12;ayudante;0
59;12;sala;0
60;12;materiales;0
61;13;cirujano;65
62;13;anestesiologo;0
63;13;ayudante;0
64;13;sala;0
65;13;materiales;50
66;14;cirujano;75
67;14;anestesiologo;0
68;14;ayudante;0
69;14;sala;0
70;14;materiales;75
71;15;cirujano;100
72;15;anestesiologo;0
73;15;ayudante;0
74;15;sala;0
75;15;materiales;100
76;16;cirujano;100
77;16;anestesiologo;100
78;16;ayudante;100
79;16;sala;100
80;16;materiales;100
81;17;cirujano;75
82;17;anestesiologo;75
83;17;ayudante;75
84;17;sala;50
85;17;materiales;75
86;18;cirujano;50
87;18;anestesiologo;50
88;18;ayudante;50
89;18;sala;0
90;18;materiales;0
91;19;cirujano;50
92;19;anestesiologo;75
93;19;ayudante;0
94;19;sala;50
95;19;materiales;0
96;20;cirujano;50
97;20;anestesiologo;75
98;20;ayudante;0
99;20;sala;50
100;20;materiales;75
101;21;cirujano;100
102;21;anestesiologo;0
103;21;ayudante;0
104;21;sala;45
105;21;materiales;100
106;22;cirujano;100
107;22;anestesiologo;100
108;22;ayudante;100
109;22;sala;100
110;22;materiales;100
111;23;cirujano;75
112;23;anestesiologo;75
113;23;ayudante;75
114;23;sala;50
115;23;materiales;75
116;24;cirujano;50
117;24;anestesiologo;50
118;24;ayudante;50
119;24;sala;0
120;24;materiales;0
121;25;cirujano;50
122;25;anestesiologo;75
123;25;ayudante;0
124;25;sala;50
125;25;materiales;0
126;26;cirujano;50
127;26;anestesiologo;75
128;26;ayudante;0
129;26;sala;50
130;26;materiales;75
131;27;cirujano;100
132;27;anestesiologo;0
133;27;ayudante;0
134;27;sala;45
135;27;materiales;100
